date,nav,daily_return
2021-06-24,1.546574512,-0.0003301247
2021-06-25,1.5600746694,0.0087290701
2021-06-28,1.5597864361,-0.0001847561
2021-06-29,1.5537642777,-0.0038608865
2021-06-30,1.5590503685,0.0034021189
2021-07-01,1.5554319835,-0.0023208904
2021-07-02,1.5358010518,-0.0126208872
2021-07-05,1.5374547837,0.0010767878
2021-07-06,1.5325319544,-0.0032019343
2021-07-07,1.5430524123,0.0068647559
2021-07-08,1.5318937963,-0.007231521
2021-07-09,1.5374110116,0.0036015652
2021-07-12,1.5510722909,0.0088858992
2021-07-13,1.5589085858,0.005052179
2021-07-14,1.5499942067,-0.0057183463
2021-07-15,1.5586927023,0.0056119537
2021-07-16,1.5523006689,-0.0041008939
2021-07-19,1.5469960497,-0.0034172628
2021-07-20,1.5464686121,-0.000340943
2021-07-21,1.5564145865,0.0064314105
2021-07-22,1.5608113408,0.0028249249
2021-07-23,1.5494565585,-0.007274923
2021-07-26,1.5207209749,-0.0185455884
2021-07-27,1.4882122142,-0.0213772028
2021-07-28,1.488138755,-4.93607e-05
2021-07-29,1.509883844,0.0146122725
2021-07-30,1.5050166547,-0.0032235521
2021-08-02,1.5192839386,0.009479818
2021-08-03,1.5146061982,-0.0030789112
2021-08-04,1.5255611975,0.0072329027
2021-08-05,1.5200174702,-0.0036338938
2021-08-06,1.5183572941,-0.0010922086
2021-08-09,1.5278883905,0.0062772422
2021-08-10,1.536605423,0.0057052809
2021-08-11,1.5393708708,0.0017997124
2021-08-12,1.5382651014,-0.0007183255
2021-08-13,1.5353952022,-0.0018656727
2021-08-16,1.5323898119,-0.001957405
2021-08-17,1.5118637862,-0.0133947808
2021-08-18,1.522313954,0.0069121093
2021-08-19,1.5161172227,-0.0040706001
2021-08-20,1.5056321778,-0.0069157218
2021-08-23,1.520013551,0.0095517175
2021-08-24,1.5342093048,0.0093392285
2021-08-25,1.5403552505,0.0040059369
2021-08-26,1.5292323022,-0.0072210279
2021-08-27,1.5346275062,0.0035280473
2021-08-30,1.5369262947,0.0014979456
2021-08-31,1.5435272551,0.0042949101
2021-09-01,1.5470518737,0.0022834832
2021-09-02,1.5560772381,0.0058339119
2021-09-03,1.5508483016,-0.0033603322
2021-09-06,1.5662770036,0.0099485566
2021-09-07,1.5850266258,0.0119708213
2021-09-08,1.5868576546,0.0011552038
2021-09-09,1.5872406079,0.0002413281
2021-09-10,1.5897687935,0.0015928181
2021-09-13,1.5928157807,0.0019166228
