type,date,name,code,close,pct_change,note
index,2026-07-16,上证指数,000001,3882.41,-1.85,回填历史
index,2026-07-16,中证消费,000932,12536.49,0.78,回填历史
index,2026-07-16,创业板指,399006,3692.46,-2.95,回填历史
us_index,2026-07-16,美股道指DIA,DIA,524.83,-0.21,美股收盘(回填历史)
index,2026-07-16,恒生指数,HSI,25008.6,1.33,回填历史
index,2026-07-16,恒生科技,HSTECH,4834.44,1.98,回填历史
us_index,2026-07-16,美股医疗ETF(IYH),IYH,68.12,1.96,美股收盘(回填历史)
us_index,2026-07-16,美股纳指100QQQ,QQQ,705.94,-1.64,美股收盘(回填历史)
us_index,2026-07-16,美股医疗保健XLV,XLV,161.8,2.22,美股收盘(回填历史)
index,2026-07-16,十年国债收益率,十年国债收益率,1.7437,0,回填历史
index,2026-07-17,上证指数,000001,3764.16,-3.05,回填历史
index,2026-07-17,中证消费,000932,12327.9,-1.66,回填历史
index,2026-07-17,创业板指,399006,3428.63,-7.15,回填历史
us_index,2026-07-17,美股道指DIA,DIA,520.81,-0.77,美股收盘(回填历史)
index,2026-07-17,恒生指数,HSI,24562.24,-1.78,回填历史
index,2026-07-17,恒生科技,HSTECH,4623.17,-4.37,回填历史
us_index,2026-07-17,美股医疗ETF(IYH),IYH,67.8,-0.47,美股收盘(回填历史)
us_index,2026-07-17,美股纳指100QQQ,QQQ,695.33,-1.5,美股收盘(回填历史)
us_index,2026-07-17,美股医疗保健XLV,XLV,161.09,-0.44,美股收盘(回填历史)
index,2026-07-17,十年国债收益率,十年国债收益率,1.7404,0,回填历史
index,2026-07-20,上证指数,000001,3796.28,0.85,回填历史
index,2026-07-20,中证消费,000932,12752.63,3.45,回填历史
index,2026-07-20,创业板指,399006,3443.1,0.42,回填历史
us_index,2026-07-20,美股道指DIA,DIA,517.94,-0.55,美股收盘(回填历史)
index,2026-07-20,恒生指数,HSI,25143.05,2.36,回填历史
index,2026-07-20,恒生科技,HSTECH,4752.15,2.79,回填历史
us_index,2026-07-20,美股医疗ETF(IYH),IYH,66.99,-1.19,美股收盘(回填历史)
us_index,2026-07-20,美股纳指100QQQ,QQQ,696.06,0.1,美股收盘(回填历史)
us_index,2026-07-20,美股医疗保健XLV,XLV,159.25,-1.14,美股收盘(回填历史)
index,2026-07-20,十年国债收益率,十年国债收益率,1.7453,0,回填历史
index,2026-07-21,上证指数,000001,3864.37,1.79,回填历史
index,2026-07-21,中证消费,000932,12618.37,-1.05,回填历史
index,2026-07-21,创业板指,399006,3685.97,7.05,回填历史
us_index,2026-07-21,美股道指DIA,DIA,521.51,0.69,美股收盘(回填历史)
index,2026-07-21,恒生指数,HSI,25132.29,-0.04,回填历史
index,2026-07-21,恒生科技,HSTECH,4814.83,1.32,回填历史
us_index,2026-07-21,美股医疗ETF(IYH),IYH,67.42,0.64,美股收盘(回填历史)
us_index,2026-07-21,美股纳指100QQQ,QQQ,708.97,1.85,美股收盘(回填历史)
us_index,2026-07-21,美股医疗保健XLV,XLV,160.25,0.63,美股收盘(回填历史)
index,2026-07-21,十年国债收益率,十年国债收益率,1.745,0,回填历史
index,2026-07-22,上证指数,000001,3867.03,0.07,回填历史
index,2026-07-22,中证消费,000932,12700.36,0.65,回填历史
index,2026-07-22,创业板指,399006,3566.73,-3.23,回填历史
us_index,2026-07-22,美股道指DIA,DIA,521.47,-0.01,美股收盘(回填历史)
index,2026-07-22,恒生指数,HSI,24892.66,-0.95,回填历史
index,2026-07-22,恒生科技,HSTECH,4668.23,-3.04,回填历史
us_index,2026-07-22,美股医疗ETF(IYH),IYH,67.12,-0.44,美股收盘(回填历史)
us_index,2026-07-22,美股纳指100QQQ,QQQ,705.35,-0.51,美股收盘(回填历史)
us_index,2026-07-22,美股医疗保健XLV,XLV,159.43,-0.51,美股收盘(回填历史)
index,2026-07-22,十年国债收益率,十年国债收益率,1.7297,0,回填历史
index,2026-07-23,上证指数,000001,3876.78,0.25,回填历史
index,2026-07-23,中证消费,000932,12639.15,-0.48,回填历史
index,2026-07-23,创业板指,399006,3575.52,0.25,回填历史
us_index,2026-07-23,美股道指DIA,DIA,516.26,-1.0,美股收盘(回填历史)
index,2026-07-23,恒生指数,HSI,25210.81,1.28,回填历史
index,2026-07-23,恒生科技,HSTECH,4698.48,0.65,回填历史
us_index,2026-07-23,美股医疗ETF(IYH),IYH,67.98,1.28,美股收盘(回填历史)
us_index,2026-07-23,美股纳指100QQQ,QQQ,691.96,-1.9,美股收盘(回填历史)
us_index,2026-07-23,美股医疗保健XLV,XLV,161.44,1.26,美股收盘(回填历史)
index,2026-07-23,十年国债收益率,十年国债收益率,1.7325,0,回填历史
index,2026-07-24,上证指数,000001,3814.2,-1.61,回填历史
index,2026-07-24,中证消费,000932,12410.75,-1.81,回填历史
index,2026-07-24,创业板指,399006,3480.87,-2.65,回填历史
us_index,2026-07-24,美股道指DIA,DIA,518.76,0.48,美股收盘(回填历史)
index,2026-07-24,恒生指数,HSI,24963.23,-0.98,回填历史
index,2026-07-24,恒生科技,HSTECH,4629.51,-1.47,回填历史
us_index,2026-07-24,美股医疗ETF(IYH),IYH,68.41,0.63,美股收盘(回填历史)
us_index,2026-07-24,美股纳指100QQQ,QQQ,684.23,-1.12,美股收盘(回填历史)
us_index,2026-07-24,美股医疗保健XLV,XLV,162.57,0.7,美股收盘(回填历史)
index,2026-07-24,十年国债收益率,十年国债收益率,1.7282,0,回填历史
index,2026-07-27,上证指数,000001,3858.24,1.15,回填历史
index,2026-07-27,中证消费,000932,12472.05,0.49,回填历史
index,2026-07-27,创业板指,399006,3590.79,3.16,回填历史
us_index,2026-07-27,美股道指DIA,DIA,521.26,0.48,美股收盘(回填历史)
index,2026-07-27,恒生指数,HSI,25207.18,0.98,回填历史
index,2026-07-27,恒生科技,HSTECH,4702.05,1.57,回填历史
us_index,2026-07-27,美股医疗ETF(IYH),IYH,68.72,0.45,美股收盘(回填历史)
us_index,2026-07-27,美股纳指100QQQ,QQQ,682.12,-0.31,美股收盘(回填历史)
us_index,2026-07-27,美股医疗保健XLV,XLV,163.4,0.51,美股收盘(回填历史)
index,2026-07-27,十年国债收益率,十年国债收益率,1.7337,0,回填历史
index,2026-07-28,上证指数,000001,3813.32,-1.16,回填历史
index,2026-07-28,中证消费,000932,12663.01,1.53,回填历史
index,2026-07-28,创业板指,399006,3327.03,-7.35,回填历史
us_index,2026-07-28,美股道指DIA,DIA,526.89,1.08,美股收盘(回填历史)
index,2026-07-28,恒生指数,HSI,25310.85,0.41,回填历史
index,2026-07-28,恒生科技,HSTECH,4730.61,0.61,回填历史
us_index,2026-07-28,美股医疗ETF(IYH),IYH,70.29,2.28,美股收盘(回填历史)
us_index,2026-07-28,美股纳指100QQQ,QQQ,675.49,-0.97,美股收盘(回填历史)
us_index,2026-07-28,美股医疗保健XLV,XLV,167.26,2.36,美股收盘(回填历史)
index,2026-07-28,十年国债收益率,十年国债收益率,1.7351,0,回填历史
